id,sku,name,price,currency,in_stock,categories,short_description,permalink
banana-plug-to-alligator-clip-test-cable,banana-plug-to-alligator-clip-test-cable,Banana Plug to Alligator clip Test Cable Black Red 1 Meter,60,BDT,yes,,,https://makersbd.com/product/banana-plug-to-alligator-clip-test-cable
lcr-digital-multimeter-probe-tweezers,lcr-digital-multimeter-probe-tweezers,One Hand Component Tester LCR Digital Multimeter Probe Tweezers,160,BDT,yes,,,https://makersbd.com/product/lcr-digital-multimeter-probe-tweezers
1.28inch-tft-ips-lcd-full-colour-round-display,1.28inch-tft-ips-lcd-full-colour-round-display,1.28 inch TFT LCD 240×240 RGB Color Round Display Module GC9A01 Drive SPI Interf...,600,BDT,yes,,,https://makersbd.com/product/1.28inch-tft-ips-lcd-full-colour-round-display
hc06-bluetooth-module-wireless,hc06-bluetooth-module-wireless,HC-06 HC06 Bluetooth Serial Pass-Through Wireless Bluetooth Communication Module,340,BDT,yes,,,https://makersbd.com/product/hc06-bluetooth-module-wireless
3s-10a-12v-bms-battery-protection-board,3s-10a-12v-bms-battery-protection-board,3S 10A BMS 12V Lithium Battery Charge Protection Board 12.6V,120,BDT,yes,,,https://makersbd.com/product/3s-10a-12v-bms-battery-protection-board
1.3inch-oled-display-price-in-bangladesh,1.3inch-oled-display-price-in-bangladesh,"1.3"" inch OLED display module blue color drive chip sh1106 128x64 IIC I2C",450,BDT,yes,,,https://makersbd.com/product/1.3inch-oled-display-price-in-bangladesh
bw16-kit-dual-band-wifi-2.4g-5g-development-board,bw16-kit-dual-band-wifi-2.4g-5g-development-board,BW16 KIT RTL8720DN NodeMCU 2.4Ghz & 5Ghz Wifi Wireless WIFI Module,1190,BDT,yes,,,https://makersbd.com/product/bw16-kit-dual-band-wifi-2.4g-5g-development-board
tp-4056-6cells-charging-module-price-in-bd,tp-4056-6cells-charging-module-price-in-bd,TP4056 Battery Charging Module 6 Batteries 5V Input 4.2V 1A Current,350,BDT,yes,,,https://makersbd.com/product/tp-4056-6cells-charging-module-price-in-bd
esp32-28p-nodemcu-wifi-bluetooth-module,esp32-28p-nodemcu-wifi-bluetooth-module,ESP32 38 Pin NodeMCU WiFi and Bluetooth Development Board,840,BDT,yes,,,https://makersbd.com/product/esp32-28p-nodemcu-wifi-bluetooth-module
mini-desolder-pump-price-in-bd,mini-desolder-pump-price-in-bd,Aluminum Metal Desoldering Pump Solder Suction Tool,150,BDT,yes,,,https://makersbd.com/product/mini-desolder-pump-price-in-bd
xh-m240-lithium-battery-capacity-tester-2slots,xh-m240-lithium-battery-capacity-tester-2slots,XH-M240 18650 Lithium Battery Real Capacity Tester,650,BDT,yes,,,https://makersbd.com/product/xh-m240-lithium-battery-capacity-tester-2slots
bc547-npn-transistor-price-in-bd,bc547-npn-transistor-price-in-bd,BC547 NPN Trasnsistor TO-92 Package 10 Pcs,60,BDT,yes,,,https://makersbd.com/product/bc547-npn-transistor-price-in-bd
heat-shrink-tube-5mm-black-10pcs,heat-shrink-tube-5mm-black-10pcs,5mm Heat Shrink Tube Pre-Cut Black/ Red/ Yellow 1 Inch per 10 Pcs,20,BDT,yes,,,https://makersbd.com/product/heat-shrink-tube-5mm-black-10pcs
heat-shrink-tube-3mm-red-black-10pcs,heat-shrink-tube-3mm-red-black-10pcs,3mm Heat Shrink Tube Red and Black Pre-Cut 1 Inch per 10 Pcs,15,BDT,yes,,,https://makersbd.com/product/heat-shrink-tube-3mm-red-black-10pcs
universal-lithium-battery-charger-dual-slot,universal-lithium-battery-charger-dual-slot,Lithium Battery Universal Charger Dual Slot 4.2V 18650/16340/14500/17670 Batteri...,250,BDT,yes,,,https://makersbd.com/product/universal-lithium-battery-charger-dual-slot
1n4007-diode-price-in-bd,1n4007-diode-price-in-bd,1N4007 Diode 1000V 1A General Rectifier Diode 5 Pcs,15,BDT,yes,,,https://makersbd.com/product/1n4007-diode-price-in-bd
1n5819-schottky-diode-1a,1n5819-schottky-diode-1a,1N5819 40V 1A Schottky Diode 5 Pcs,20,BDT,yes,,,https://makersbd.com/product/1n5819-schottky-diode-1a
